,MIS-Luby,MIS-SW08,MIS-GP22,MIS-GP22-0.1,MIS-GP22-0.5,MIS-Lam
100,13.38,9.76,3.87,6.61,4.83,9.88
200,14.4,11.8,4.11,6.98,5.29,9.66
300,14.98,12.68,4.42,7.09,5.53,9.57
400,17.66,13.42,4.32,7.15,5.46,9.66
500,18.32,13.6,4.25,7.28,5.47,9.51
600,19.66,14.94,4.48,7.44,5.7,9.53
700,20.34,15.02,4.5,7.56,5.81,9.58
800,18.3,15.18,4.6,7.6,5.83,9.62
900,19.72,15.46,4.46,7.55,5.84,9.66
1000,20.82,15.72,4.59,7.72,5.9,9.65
1100,20.88,15.36,4.72,7.7,6.02,9.74
1200,22.52,15.32,4.74,7.83,6.05,9.72
1300,24.04,15.6,4.73,7.87,5.97,9.77
1400,23.82,15.2,4.68,7.87,5.97,9.79
1500,25.7,15.56,4.76,7.88,6.02,9.81
1600,25.56,15.7,4.67,7.91,5.99,9.79
1700,25.42,15.84,4.72,8.0,6.03,9.79
1800,24.12,16.3,4.69,8.03,6.05,9.78
1900,24.84,15.56,4.76,8.05,6.06,9.83
2000,23.26,16.08,4.76,8.07,6.17,9.87
